flight_number,name,launch_year,success,class,rocket,payloads,launchpad
114,Starlink-16 (v1.0),2021,True,1,5e9d0d95eda69973a809d1ec,['5fbfedba54ceb10a5664c813'],5e9e4502f509094188566f88
115,Transporter-1,2021,True,1,5e9d0d95eda69973a809d1ec,['5fd3871a7faea57d297c86c6'],5e9e4501f509094ba4566f84
116,Starlink-18 (v1.0),2021,True,1,5e9d0d95eda69973a809d1ec,['5ff655769257f579ee3a6c64'],5e9e4501f509094ba4566f84
117,Starlink-19 (v1.0),2021,True,1,5e9d0d95eda69973a809d1ec,['600f9bc08f798e2a4d5f97a4'],5e9e4501f509094ba4566f84
118,Starlink-17 (v1.0),2021,True,1,5e9d0d95eda69973a809d1ec,['5fbfedc654ceb10a5664c814'],5e9e4502f509094188566f88
119,Starlink-20 (v1.0),2021,True,1,5e9d0d95eda69973a809d1ec,['600f9bcb8f798e2a4d5f97a5'],5e9e4501f509094ba4566f84
120,Starlink-21 (v1.0),2021,True,1,5e9d0d95eda69973a809d1ec,['600f9bd88f798e2a4d5f97a6'],5e9e4502f509094188566f88
121,Starlink-22 (v1.0),2021,True,1,5e9d0d95eda69973a809d1ec,['60428afbc041c16716f73cdd'],5e9e4501f509094ba4566f84
122,Starlink-23 (v1.0),2021,True,1,5e9d0d95eda69973a809d1ec,['60428b02c041c16716f73cde'],5e9e4501f509094ba4566f84
123,Crew-2,2021,True,1,5e9d0d95eda69973a809d1ec,['5fe3b3adb3467846b3242173'],5e9e4502f509094188566f88
124,Starlink-24 (v1.0),2021,True,1,5e9d0d95eda69973a809d1ec,['605b4be3aa5433645e37d046'],5e9e4501f509094ba4566f84
125,Starlink-25 (v1.0),2021,True,1,5e9d0d95eda69973a809d1ec,['605b4befaa5433645e37d047'],5e9e4502f509094188566f88
126,Starlink-27 (v1.0),2021,True,1,5e9d0d95eda69973a809d1ec,['6079bd5e9a06446e8c61bf7c'],5e9e4501f509094ba4566f84
